nombre,clave,duracion,descripcion,perfil_ingreso,perfil_egreso,especialidad,jefe_division
Ingeniería en Sistemas Computacionales,ISC,9 Semestres,"Enfoque en construcción de software robusto, gestión de infraestructura, calidad y escalabilidad de sistemas.","Perfil analítico con bases en Físico-Matemáticas o Informática. Requiere capacidad de abstracción y paciencia para debugging.","Arquitecto de Software, DevOps, Full-Stack y DBA. Capaz de diseñar redes y gestionar bases de datos.","Programación de Móviles, Diseño UI/UX y Metodologías Ágiles.","Ing. José Iraic Alcantar Alcantar"
Ingeniería Mecatrónica,IMT,9 Semestres,"Sinergia de mecánica, electrónica, control y computación para la Industria 4.0.","Perfil riguroso en ciencias exactas (Físico-Matemáticas). Interés en robótica y mecanismos.","Diseño e innovación de sistemas mecatrónicos, automatización de procesos y liderazgo multidisciplinario.","Manufactura y Automatización Industrial (Diseño de Moldes, Redes Industriales).","N/A"
Ingeniería Industrial,II,9 Semestres,"Optimización de sistemas complejos, productividad y calidad en manufactura y servicios.","Visión sistémica y liderazgo. Conocimientos previos en estadística y administración básica.","Gestión de plantas de producción, optimización logística y certificaciones de calidad (ISO 9001).","Sistemas Esbeltos para Mejora de Procesos y Servicios (Lean Manufacturing).","Natanael Vargas Pimentel"
Ingeniería Bioquímica,IBQ,9 Semestres,"Transformación de materiales biológicos en productos de valor integrando biología e ingeniería.","Perfil Químico-Biológico. Interés en laboratorio, microbiología y medio ambiente.","Diseño de biorreactores, control de calidad alimentaria e investigación biotecnológica.","Biotecnología y Alimentos (Ingeniería Metabólica).","Mauricio Nahuam Chávez Avilés (Docente destacado)"
Ingeniería en Gestión Empresarial,IGE,9 Semestres,"Fusión de ingeniería de procesos con administración estratégica para la toma de decisiones.","Perfil mixto: analítico y social. Gusto por economía y finanzas.","Creación de empresas, gestión de innovación, consultoría y dirección de operaciones.","Calidad y Competitividad Empresarial.","Susana Reyes Vázquez (Docente destacada)"
Ingeniería en Nanotecnología,INA,9 Semestres,"Manipulación de la materia a escala nanométrica (1-100 nm). Convergencia de física, química y biología.","Altamente selectivo. Curiosidad científica y abstracción. Bachillerato Físico-Matemático o Químico-Biológico.","I+D en nuevos materiales, recubrimientos avanzados y electrónica molecular.","Aplicación de Nanomateriales en Industria y Remediación Ambiental.","Saúl Tapia Reynoso (Docente destacado)"
Ingeniería en Innovación Agrícola Sustentable,IIAS,9 Semestres,"Modernización agronómica con tecnología y sustentabilidad. Clave para la región aguacatera y berries.","Interés por el campo con visión tecnológica. Bachillerato en Ciencias Naturales.","Gestión de agronegocios high-tech, asesoría de exportación y sistemas de producción controlada.","Agroecología y Sistemas de Riego Presurizado.","N/A"
Ingeniería en Tecnologías de la Información y Comunicaciones,ITIC,9 Semestres,"Ingeniería de la conectividad, infraestructura y convergencia digital.","Gusto por el hardware, redes, configuración de servidores y telecomunicaciones.","Administrador de infraestructura TI, Ciberseguridad e Integrador Web/Móvil.","Tecnologías Web, Multimedia y Marketing Digital.","N/A"
Ingeniería en Animación Digital y Efectos Visuales,IADEV,9 Semestres,"Combina arte visual, programación y física matemática para simulación y entretenimiento.","Talento artístico (dibujo/composición) y habilidad lógica-matemática.","Industria de videojuegos, cine, VFX, publicidad y visualización arquitectónica.","Postproducción y Efectos Visuales.","N/A"
Ingeniería en Sistemas Automotrices,ISAU,9 Semestres,"Diseño, manufactura y mantenimiento avanzado de vehículos.","Interés profundo por la mecánica automotriz, física y dinámica vehicular.","Ingeniero de producto en armadoras, gestor de calidad Tier 1 y diagnóstico avanzado.","Autotrónica y Manufactura Automotriz.","N/A"
